date,EUR,USD,PLN,TRY
2018-04-06,2768.4601,2251.4189,659.4241,557.6626
2018-04-07,2758.7850,2251.9761,657.1195,555.7137
2018-04-08,2758.7850,2251.9761,657.1195,555.7137
2018-04-09,2758.7850,2251.9761,657.6051,551.5584
2018-04-10,2774.3636,2251.9761,661.6655,548.0549
2018-04-11,2781.6272,2252.0557,663.6353,536.6621
2018-04-12,2787.2183,2252.0557,666.0975,552.2197
2018-04-13,2787.2183,2252.7523,667.3894,552.8988
2018-04-14,2780.5494,2254.6926,665.7925,551.5759
2018-04-15,2780.5494,2256.2051,665.7925,551.5759
2018-04-16,2780.5494,2256.2051,667.9678,547.1799
2018-04-17,2780.5494,2256.2051,668.3692,548.0643
2018-04-18,2798.8272,2259.5783,671.2299,551.9281
2018-04-19,2795.8350,2263.1903,671.0433,560.9846
2018-04-20,2802.9960,2263.3993,672.5522,562.8167
2018-04-21,2802.9960,2263.3993,672.5522,562.8167
2018-04-22,2780.5943,2261.3794,667.1772,558.3186
2018-04-23,963.2318,2780.5943,229.9267,192.3425
2018-04-24,2768.5377,2262.2450,659.2384,553.8737
2018-04-25,2768.5377,2262.2450,655.4148,553.6190
2018-04-26,2760.4101,2261.8868,651.6549,557.3096
2018-04-27,2756.5417,2261.7774,653.8132,563.9175
2018-04-28,2733.7527,2262.3844,648.4079,559.2555
2018-04-29,2733.7527,2262.3844,648.4079,559.2555
2018-04-30,2733.7527,2262.3844,646.8277,559.0954
2018-05-01,2733.7527,2262.3844,646.8277,559.0954
2018-05-02,2733.5144,2262.3744,639.3438,548.7552
2018-05-03,2716.0606,2262.3446,637.1541,539.3290
2018-05-04,2716.0606,2262.3446,638.4271,532.9476
2018-05-05,2711.9891,2263.0610,637.4701,532.1486
2018-05-06,2705.2654,2263.0610,635.8897,530.8293
2018-05-07,2705.2654,2263.0610,635.9794,532.2497
2018-05-08,2698.8293,2263.9267,630.6855,530.1802
2018-05-09,2698.8293,2263.9267,632.6963,531.0147
2018-05-10,2691.9210,2264.1157,634.2438,533.8042
2018-05-11,2691.9210,2264.1854,632.1438,527.5690
2018-05-12,2706.4699,2264.5436,635.5603,530.4204
2018-05-13,2706.4699,2264.5436,635.5603,530.4204
2018-05-14,2706.4699,2264.5436,634.8894,523.0096
2018-05-15,2706.4699,2264.5436,631.8066,513.3766
2018-05-16,2682.7747,2264.6133,625.5158,514.1582
2018-05-17,2682.7747,2264.6133,625.3700,511.0339
2018-05-18,2668.4944,2264.7924,621.3025,506.2212
2018-05-19,2671.2463,2265.1108,621.9433,506.7432
2018-05-20,2663.4716,2265.2401,620.1331,505.2684
2018-05-21,2663.4716,2265.2401,617.4305,493.1259
2018-05-22,2663.8012,2265.6183,621.4832,486.9482
2018-05-23,2668.5367,2265.5984,619.3225,467.4590
2018-05-24,2651.5135,2265.6680,616.1868,475.1476
2018-05-25,2658.5138,2265.6481,616.9677,482.0252
2018-05-26,2658.5138,2265.6481,616.9677,482.0252
2018-05-27,2644.5098,2265.5884,613.7178,479.4861
2018-05-28,2644.5098,2265.5884,614.2452,494.4673
2018-05-29,2631.3936,2265.6083,610.3905,493.3246
2018-05-30,2631.3936,2265.6083,610.0368,507.8146
2018-05-31,2633.2378,2265.5387,611.5560,500.3492
2018-06-01,2633.2378,2265.5884,610.0824,487.7179
2018-06-02,2644.6817,2265.6382,612.7338,489.8375
2018-06-03,2644.6817,2265.6382,612.7338,489.8375
2018-06-04,2644.6817,2265.6382,617.2241,488.0117
2018-06-05,2644.6817,2265.7576,616.6772,491.0563
2018-06-06,2654.6754,2265.7675,620.9331,490.8975
2018-06-07,2644.1530,2265.7675,620.6495,499.7454
2018-06-08,2676.4617,2262.9117,625.4438,506.9248
2018-06-09,2676.4617,2262.9117,625.4438,506.9248
2018-06-10,2660.6863,2263.1605,621.7574,503.9369
2018-06-11,2660.6863,2263.1605,623.5643,499.2281
2018-06-12,2668.0539,2263.1704,624.0478,496.2713
2018-06-13,2669.1198,2263.1704,624.1219,488.8229
2018-06-14,2669.1198,2263.6779,625.5114,491.9946
2018-06-15,2665.4819,2263.6779,622.6743,487.5495
2018-06-16,2644.9078,2264.4740,617.8681,483.7862
2018-06-17,2644.9078,2264.4740,617.8681,483.7862
2018-06-18,2644.9078,2264.4740,616.8737,482.4625
2018-06-19,2627.1575,2264.6929,608.9418,477.9170
2018-06-20,2617.0848,2264.8919,606.4805,476.3272
2018-06-21,2625.8181,2265.5884,607.0414,479.5664
2018-06-22,2625.8181,2265.5884,608.5608,480.5758
2018-06-23,2616.0104,2265.6282,606.2878,478.7808
2018-06-24,2639.9744,2265.8770,611.8417,483.1667
2018-06-25,2639.9744,2265.8770,608.7098,483.8929
2018-06-26,2639.9744,2265.8770,608.1489,488.4048
2018-06-27,2648.0807,2266.4143,610.6775,493.1249
2018-06-28,2629.6655,2266.4641,602.7058,493.3244
2018-06-29,2629.6655,2266.4641,601.3138,492.5851
2018-06-30,2639.7928,2266.4342,603.6296,494.4821
2018-07-01,2639.7928,2266.6929,603.6296,494.4821
2018-07-02,2639.7928,2266.6929,601.4154,491.1882
2018-07-03,2636.6549,2266.3347,600.3996,484.2875
2018-07-04,2636.6549,2266.3347,602.1135,482.0915
2018-07-05,2637.2986,2266.1456,605.2043,488.3705
2018-07-06,2652.4201,2265.8173,607.3086,490.8435
2018-07-07,2652.4201,2265.3795,607.3086,490.8435
2018-07-08,2663.5301,2265.2899,609.8523,492.8995
2018-07-09,2663.5301,2265.2899,616.5008,500.0808
2018-07-10,2667.1256,2265.2899,617.2759,484.3595
2018-07-11,2667.1256,2265.1705,617.1902,475.3980
2018-07-12,2653.8643,2265.6581,613.2983,470.8439
2018-07-13,2661.2431,2266.3646,615.8859,471.2917
2018-07-14,2646.8894,2266.4740,612.5641,468.7498
2018-07-15,2638.2919,2266.4740,610.5744,467.2272
2018-07-16,2638.2919,2266.4740,613.3708,463.7287
2018-07-17,2638.2919,2266.4740,613.4564,466.0223
2018-07-18,2654.4333,2267.6780,615.8349,472.9840
2018-07-19,2651.0246,2266.3148,612.5288,473.7610
2018-07-20,2636.6084,2267.6581,609.9166,471.8424
2018-07-21,2658.2267,2269.3696,614.9175,475.7112
2018-07-22,2658.2267,2269.3696,614.9175,475.7112
2018-07-23,2658.2267,2269.3696,615.3303,477.8920
2018-07-24,2658.6049,2270.1756,615.7171,465.9805
2018-07-25,2658.6049,2270.1756,618.3377,470.0254
2018-07-26,2654.9480,2270.5438,619.8081,470.2852
2018-07-27,2654.9851,2270.6731,618.6181,468.0037
2018-07-28,2643.7244,2270.7527,615.9943,466.0188
2018-07-29,2643.7244,2270.7527,615.9943,466.0188
2018-07-30,2643.7244,2270.7527,618.0825,463.1775
2018-07-31,2643.7244,2271.3299,618.1259,461.2300
2018-08-01,2662.1079,2272.6831,623.1526,461.7386
2018-08-02,2657.1790,2273.6185,620.5462,452.5169
2018-08-03,2657.1790,2273.6185,623.5753,450.6902
2018-08-04,2642.5299,2273.0214,620.1375,448.2055
2018-08-05,2635.6837,2273.0214,618.5309,447.0443
2018-08-06,2635.6837,2273.0214,616.8083,442.0286
2018-08-07,2635.6837,2273.0214,619.8254,428.9291
2018-08-08,2637.9640,2273.4195,619.2840,430.6388
2018-08-09,2637.9640,2273.4195,617.2264,421.1376
2018-08-10,2635.1309,2273.4195,614.0922,380.2004
2018-08-11,2595.0865,2272.7030,604.7602,374.4227
2018-08-12,2595.0865,2272.7030,604.7602,374.4227
2018-08-13,2595.0865,2272.7030,604.0001,329.9496
2018-08-14,2595.0865,2272.9418,603.6067,349.3513
2018-08-15,2589.7598,2272.7130,598.3180,373.2987
2018-08-16,2589.7598,2272.7130,600.2874,390.2121
2018-08-17,2571.5233,2273.4692,596.4336,365.8865
2018-08-18,2588.9363,2273.4891,600.4723,368.3641
2018-08-19,2591.5737,2273.4095,601.0840,368.7393
2018-08-20,2591.5737,2273.4095,602.1734,370.9508
2018-08-21,2600.5558,2274.3050,603.6433,368.0535
2018-08-22,2600.5558,2274.3050,607.3085,371.1315
2018-08-23,2617.3371,2274.0662,611.7847,372.4527
2018-08-24,2629.5979,2274.2453,614.5643,374.5653
2018-08-25,2629.5979,2274.2453,614.5643,374.5653
2018-08-26,2636.6294,2274.4245,616.2077,375.5668
2018-08-27,2636.6294,2274.4245,617.3330,365.7819
2018-08-28,2636.6294,2274.4245,617.1452,359.6254
2018-08-29,2664.7703,2274.5538,622.0576,354.1882
2018-08-30,2664.7703,2274.6633,621.4193,339.2019
2018-08-31,2656.2776,2274.7926,618.9914,347.7440
2018-09-01,2647.4839,2274.9120,616.9422,346.5928
2018-09-02,2647.4839,2275.3499,616.9422,346.5928
2018-09-03,2647.4839,2275.3499,616.3820,343.3653
2018-09-04,2641.8059,2275.2603,613.7169,342.2560
2018-09-05,2641.8059,2275.5389,610.8363,342.0256
2018-09-06,2637.5844,2275.5389,610.7923,345.7676
2018-09-07,2637.5844,2275.2503,612.2384,352.7503
2018-09-08,2634.8392,2275.6285,611.6012,352.3831
2018-09-09,2634.8392,2275.6285,611.6012,352.3831
